city,dist,road,type,age,size,Efficiency_Ratio,price,Actual_Target(%),Model_Target(%),Margin(%)
新北市,淡水區,水源街,公寓,48.0,18.6,100.1%,988,146.2%,408.6%,262.3%
新北市,萬里區,鼓亭路,公寓,8.0,30.21,87.7%,484,74.7%,288.2%,213.5%
新北市,萬里區,鼓亭路,公寓,8.0,30.21,87.7%,484,74.7%,288.2%,213.5%
新北市,萬里區,鼓亭路,公寓,8.0,30.21,87.7%,484,74.7%,288.2%,213.5%
新北市,淡水區,中正路,公寓,86.0,8.99,100.0%,1380,422.8%,592.7%,169.9%
新北市,新店區,安祥路,公寓,27.70000076,,nan%,1580,98.7%,266.0%,167.3%
新北市,新店區,安祥路,公寓,27.7,,nan%,1580,98.7%,266.0%,167.3%
新北市,中和區,圓通路,電梯大樓,40.7,,nan%,1698,71.2%,236.9%,165.8%
新北市,汐止區,中興路,電梯大樓,9.699999809,8.24,51.8%,220,55.4%,210.2%,154.8%
新北市,汐止區,中興路,電梯大樓,9.7,8.24,51.8%,220,55.4%,210.2%,154.8%
新北市,淡水區,民族路,電梯大樓,88.0,43.2,87.6%,2980,190.0%,339.6%,149.6%
新北市,汐止區,中興路,電梯大樓,34.29999924,40.86,58.7%,1498,76.1%,223.8%,147.7%
台北市,大同區,錦西街,電梯大樓,25.9,5.08,-19.7%,180,38.6%,184.5%,145.9%
台北市,大同區,錦西街,電梯大樓,25.79999924,5.08,-19.7%,180,38.6%,183.3%,144.6%
新北市,淡水區,重建街,公寓,55.8,29.92,90.2%,570,52.6%,196.8%,144.2%
新北市,瑞芳區,瑞濱路,公寓,-1.0,13.8,100.0%,238,73.3%,217.1%,143.8%
新北市,瑞芳區,瑞濱路,公寓,-1.0,13.8,100.0%,238,73.3%,217.1%,143.8%
新北市,淡水區,中正東路,公寓,50.8,19.83,100.0%,880,122.3%,265.6%,143.3%
新北市,淡水區,中正東路,公寓,50.79999924,19.83,100.0%,880,122.3%,265.6%,143.3%
台北市,信義區,光復南路,電梯大樓,17.39999962,7.21,-13.9%,135,17.3%,155.8%,138.5%
台北市,信義區,光復南路,電梯大樓,17.6,7.21,-13.9%,135,17.3%,155.8%,138.5%
台北市,信義區,光復南路,電梯大樓,17.5,7.21,-13.9%,135,17.3%,155.8%,138.5%
新北市,永和區,得和路,公寓,52.0,1.5,93.3%,68,63.7%,200.5%,136.8%
新北市,新店區,安祥路,電梯大樓,8.199999809,,nan%,2398,81.0%,217.7%,136.6%
新北市,新店區,安祥路,電梯大樓,8.2,,nan%,2398,81.0%,217.7%,136.6%
新北市,淡水區,百六戛,公寓,99.59999847,19.02,100.0%,1200,173.8%,310.1%,136.3%
新北市,淡水區,百六戛,公寓,99.6,19.02,100.0%,1200,173.8%,310.1%,136.3%
新北市,淡水區,百六戛,公寓,99.59999847,19.02,100.0%,1200,173.8%,310.1%,136.3%
新北市,淡水區,中正東路,公寓,55.0,42.55,100.0%,2680,173.5%,307.2%,133.6%
新北市,淡水區,中正東路,公寓,55.0,42.55,100.0%,2680,173.5%,307.2%,133.6%
